[numAm] 0 [dados]  37.53563 -26.759798 10.715697 25.397617 -19.10408 38.454235 26.109451 -34.208366 18.924973 13.842023 -35.688393 15.142368 11.690319 -133.91228 39.002403 
[numAm] 1 [dados]  16.94907 30.568443 -33.019135 33.66809 20.986721 -34.90356 24.800756 25.679241 -12.674177 13.987869 33.751106 -12.935747 20.303703 156.80807 -27.101797 
[numAm] 1 [dados]  11.9, -33.8, 17.5, 24.2, -30.6, 29.7, 22.5, -117.5, 12.5, 23.0, -28.7, 17.9, 23.2, -11.7, 38.6, 
[numAm] 0 [dados]  -12.29, 13.57, 28.51, -31.83, 37.15, 10.35, -69.70, 32.39, 24.39, -37.58, 24.28, 17.69, -21.14, 28.87, 22.16, 
[numAm] 1 [dados]  24.63, 29.81, -22.79, 36.70, 20.75, -59.39, 20.80, 15.27, -13.25, 23.88, 26.09, -12.14, 11.28, 27.33, -14.68, 
[numAm] 0 [dados]  15.78, -19.28, 38.55, 37.06, -7.44, 11.22, 37.60, -22.94, 16.53, 11.95, -35.03, 34.99, 16.43, -28.32, 32.67, 
[numAm] 1 [dados]  16.00, -18.62, 34.44, 20.16, -17.86, 14.62, 30.62, -34.11, 15.82, 12.28, -38.44, 29.05, 24.07, -50.46, 32.08, 
[numAm] 0 [dados]  -16.4, 16.7, 38.0, -16.3, 12.5, 30.5, -29.6, 27.1, 22.8, -99.0, 15.0, 26.0, -29.7, 25.2, 24.5, 
[numAm] 1 [dados]  22.5, -13.7, 33.6, 37.3, -15.1, 15.4, 37.9, -15.7, 22.1, 35.6, -12.5, 26.3, 31.4, -7.9, 13.6, 
[numAm] 0 [dados]  -22.8, 37.2, 22.7, -38.1, 29.0, 38.5, -20.4, 38.7, 23.5, -35.2, 34.5, 32.3, -33.4, 29.9, 20.8, 
[numAm] 0 [dados]  23.9, 14.9, -18.8, 20.5, 86.4, -32.3, 16.0, 20.4, -23.2, 12.9, 18.1, -23.4, 28.6, 23.4, -21.7, 
[numAm] 1 [dados]  37.0, 26.0, -17.2, 29.7, 33.2, -12.8, 38.6, 33.2, -37.6, 36.2, 13.0, -29.6, 14.5, 12.2, -34.3, 
